scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T49_hm1,49,1,0.36,0.1488113584,False,
T49_hm1,49,1,0.38,0.1486742954,False,
T49_hm1,49,1,0.4,0.1485295614,False,
T49_hm1,49,1,0.42,0.1483771079,False,
T49_hm1,49,1,0.44,0.1482167919,False,
T49_hm1,49,1,0.46,0.1480485797,False,
T49_hm1,49,1,0.48,0.1478724814,False,
T49_hm1,49,1,0.5,0.1476884355,False,
T49_hm1,49,1,0.52,0.1474963767,False,
T49_hm1,49,1,0.54,0.1472961012,False,
T49_hm1,49,1,0.56,0.1470876371,False,
T49_hm1,49,1,0.58,0.146870939,False,
T49_hm1,49,1,0.6,0.146645926,False,
T49_hm1,49,1,0.62,0.1464125044,False,
T49_hm1,49,1,0.64,0.1461704254,False,
T49_hm1,49,1,0.66,0.1459197578,False,
T49_hm1,49,1,0.68,0.1456604018,False,
T49_hm1,49,1,0.7,0.1453922524,False,
T49_hm1,49,1,0.72,0.1451151461,False,
T49_hm1,49,1,0.74,0.1448288845,False,
T49_hm1,49,1,0.76,0.1445334751,False,
T49_hm1,49,1,0.78,0.1442287884,False,
T49_hm1,49,1,0.8,0.1439146885,False,
T49_hm1,49,1,0.82,0.1435909281,False,
T49_hm1,49,1,0.84,0.1432573609,False,
T49_hm1,49,1,0.86,0.1429139209,False,
T49_hm1,49,1,0.88,0.14256044,False,
T49_hm1,49,1,0.9,0.142196741,False,
T49_hm1,49,1,0.92,0.1418224718,False,
T49_hm1,49,1,0.94,0.1414375417,False,
T49_hm1,49,1,0.96,0.1410417924,False,
T49_hm1,49,1,0.98,0.1406350032,False,
T49_hm1,49,1,1,0.1402169405,False,
T49_hm1,49,1,1.02,0.1397871164,False,
T49_hm1,49,1,1.04,0.1393454992,False,
T49_hm1,49,1,1.06,0.1388918108,False,
T49_hm1,49,1,1.08,0.1384257556,False,
T49_hm1,49,1,1.1,0.1379469566,False,
T49_hm1,49,1,1.12,0.1374549323,False,
T49_hm1,49,1,1.14,0.1369495245,False,
T49_hm1,49,1,1.16,0.1364303535,False,
T49_hm1,49,1,1.18,0.1358970142,False,
T49_hm1,49,1,1.2,0.135348927,False,
T49_hm1,49,1,1.22,0.1347856,False,
T49_hm1,49,1,1.24,0.1342066919,False,
T49_hm1,49,1,1.26,0.1336116679,False,
T49_hm1,49,1,1.28,0.1329999531,False,
T49_hm1,49,1,1.3,0.1323706658,False,
T49_hm1,49,1,1.32,0.1317232715,False,
T49_hm1,49,1,1.34,0.1310571458,False,
T49_hm1,49,1,1.36,0.1303715023,False,
T49_hm1,49,1,1.38,0.1296654865,False,
T49_hm1,49,1,1.4,0.1289377339,False,
T49_hm1,49,1,1.42,0.1281875996,False,
T49_hm1,49,1,1.44,0.1274139867,False,
T49_hm1,49,1,1.46,0.1266156673,False,
T49_hm1,49,1,1.48,0.125791181,False,
T49_hm1,49,1,1.5,0.1249386446,False,
T49_hm1,49,1,1.52,0.1240568209,False,
T49_hm1,49,1,1.54,0.1231438476,False,
T49_hm1,49,1,1.56,0.1221976395,False,
